X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,
,1/3/25 17:38,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Alsbrook Madeleine Thorp,EVP - Talent Management,A - Grant,$0.00 ,790,"22,161",4%,$0 ,,,,,
,1/3/25 17:36,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Fukuzaki-Carlson Kristina,EVP - Business Operations,D - Sale to issuer,$0.00 ,-608,"36,272",-2%,$0 ,,,,,
,1/3/25 17:36,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Fukuzaki-Carlson Kristina,EVP - Business Operations,A - Grant,$0.00 ,790,"36,272",2%,$0 ,,,,,
,1/3/25 17:35,1/1/25,PEB,Pebblebrook Hotel Trust,Miller Phillip M.,Dir,A - Grant,$13.68 ,"5,664","18,762",43%,"$77,495 ",,,,,
,1/3/25 17:35,1/1/25,PEB,Pebblebrook Hotel Trust,Donnell Cydney,Dir,A - Grant,$13.68 ,"11,329","86,905",15%,"$155,003 ",,,,,
,1/3/25 17:35,1/1/25,PEB,Pebblebrook Hotel Trust,Schall Michael J,Dir,A - Grant,$13.68 ,"11,329","99,131",13%,"$155,003 ",,,,,
,1/3/25 17:35,1/1/25,PEB,Pebblebrook Hotel Trust,Webb Earl E,Dir,A - Grant,$13.68 ,"7,674","50,756",18%,"$104,996 ",,,,,
,1/3/25 17:35,1/1/25,PEB,Pebblebrook Hotel Trust,Jackson Ron E.,Dir,A - Grant,$13.68 ,"12,425","96,898",15%,"$169,999 ",,,,,
,1/3/25 17:34,1/1/25,PEB,Pebblebrook Hotel Trust,Simi Bonny W,Dir,A - Grant,$13.68 ,"6,030","28,298",27%,"$82,502 ",,,,,
,1/3/25 17:27,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Lee Orraparn C.,EVP - Accounting,D - Sale to issuer,$0.00 ,-608,"38,403",-2%,$0 ,,,,,
,1/3/25 17:27,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Lee Orraparn C.,EVP - Accounting,A - Grant,$0.00 ,790,"38,403",2%,$0 ,,,,,
,1/3/25 17:25,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Ciruzzi Vincent,Chief Development Officer,D - Sale to issuer,$0.00 ,"-1,825","72,820",-2%,$0 ,,,,,
,1/3/25 17:24,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Dean Gary D.,"EVP, Real Estate Legal Affairs",D - Sale to issuer,$0.00 ,-959,"45,783",-2%,$0 ,,,,,
,1/3/25 17:24,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Dean Gary D.,"EVP, Real Estate Legal Affairs",A - Grant,$0.00 ,790,"45,783",2%,$0 ,,,,,
,1/3/25 17:22,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Cole John Hart,"EVP, Capital Markets, Co-RMD",D - Sale to issuer,$0.00 ,-959,"46,656",-2%,$0 ,,,,,
,1/3/25 17:22,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Cole John Hart,"EVP, Capital Markets, Co-RMD",A - Grant,$0.00 ,790,"46,656",2%,$0 ,,,,,
,1/3/25 17:20,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Gavinet Andres,Chief Accounting Officer,D - Sale to issuer,$0.00 ,"-1,825","89,256",-2%,$0 ,,,,,
M,1/3/25 17:20,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Gavinet Andres,Chief Accounting Officer,A - Grant,$0.00 ,"18,732","89,256",27%,$0 ,,,,,
,1/3/25 17:13,1/2/25,LXP,Lxp Industrial Trust,Eglin T Wilson,"COB, CEO, Pres",A - Grant,$8.01 ,"719,106","3,666,397",24%,"$5,760,039 ",,,,,
,1/3/25 17:13,1/2/25,LXP,Lxp Industrial Trust,Eglin T Wilson,"COB, CEO, Pres",D - Sale to issuer,$8.01 ,"-246,914","3,666,397",-6%,"($1,977,781)",,,,,
,1/3/25 17:12,1/2/25,LXP,Lxp Industrial Trust,Mullinix Brendan P,"EVP, Chief Investment Officer",A - Grant,$8.01 ,"219,735","807,395",37%,"$1,760,077 ",,,,,
,1/3/25 17:12,1/2/25,LXP,Lxp Industrial Trust,Mullinix Brendan P,"EVP, Chief Investment Officer",D - Sale to issuer,$8.01 ,"-65,844","807,395",-8%,"($527,410)",,,,,
,1/3/25 17:10,1/2/25,LXP,Lxp Industrial Trust,Dudley James,"EVP, Dir of Asset Mgmt.",A - Grant,$8.01 ,"169,791","472,254",56%,"$1,360,026 ",,,,,
,1/3/25 17:10,1/2/25,LXP,Lxp Industrial Trust,Dudley James,"EVP, Dir of Asset Mgmt.",D - Sale to issuer,$8.01 ,"-39,507","472,254",-8%,"($316,451)",,,,,
,1/3/25 17:10,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Hakman Joseph,Co-COO,A - Grant,$0.00 ,790,"59,435",1%,$0 ,,,,,
,1/3/25 17:10,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Hakman Joseph,Co-COO,D - Sale to issuer,$0.00 ,-959,"59,435",-2%,$0 ,,,,,
,1/3/25 17:10,1/2/25,LXP,Lxp Industrial Trust,Cherone Mark,"SVP, Chief Accounting Officer",A - Grant,$8.01 ,"49,944","111,546",81%,"$400,051 ",,,,,
M,1/3/25 17:08,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Diamond Lawrence J,Co-COO,A - Grant,$0.00 ,"18,476","140,164",15%,$0 ,,,,,
,1/3/25 17:08,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Diamond Lawrence J,Co-COO,D - Sale to issuer,$0.00 ,"-1,825","140,164",-1%,$0 ,,,,,
,1/3/25 17:07,1/2/25,LXP,Lxp Industrial Trust,Brunner Nathan,EVP of Capital Markets,A - Grant,$8.01 ,"169,791","319,791",113%,"$1,360,026 ",,,,,
M,1/3/25 17:07,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Kass Hunter,"Co-Pres , RMD",A - Grant,$0.00 ,"56,877","165,021",53%,$0 ,,,,,
,1/3/25 17:07,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Kass Hunter,"Co-Pres , RMD",D - Sale to issuer,$0.00 ,"-6,099","165,021",-4%,$0 ,,,,,
M,1/3/25 17:06,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Ryan Daniel J,"Co-Pres, RMD",A - Grant,$0.00 ,"59,875","237,886",34%,$0 ,,,,,
,1/3/25 17:06,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Ryan Daniel J,"Co-Pres, RMD",D - Sale to issuer,$0.00 ,"-6,099","237,886",-2%,$0 ,,,,,
,1/3/25 17:05,1/2/25,KRG,Kite Realty Group Trust,Coleman Victor J,Dir,A - Grant,$0.00 ,470,"89,760",1%,$0 ,,,,,
,1/3/25 17:05,1/2/25,LXP,Lxp Industrial Trust,Boulerice Beth,"EVP, CFO, Treasurer",D - Sale to issuer,$8.01 ,"-49,383","507,283",-9%,"($395,558)",,,,,
M,1/3/25 17:04,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Binda Marc E,"CFO, Treasurer",A - Grant,$0.00 ,"41,885","119,854",54%,$0 ,,,,,
,1/3/25 17:04,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Binda Marc E,"CFO, Treasurer",D - Sale to issuer,$0.00 ,"-1,825","119,854",-1%,$0 ,,,,,
,1/3/25 17:04,1/2/25,LXP,Lxp Industrial Trust,Andrawis Nabil,"EVP, Dir of Taxation",A - Grant,$8.26 ,"37,955","240,304",19%,"$313,510 ",,,,,
,1/3/25 17:04,1/2/25,LXP,Lxp Industrial Trust,Andrawis Nabil,"EVP, Dir of Taxation",D - Sale to issuer,$8.01 ,"-11,523","240,304",-5%,"($92,299)",,,,,
,1/3/25 17:04,1/2/25,LXP,Lxp Industrial Trust,Bonventre Joseph,"EVP, COO, Gen.Counsel, Sec",A - Grant,$8.01 ,"259,677","956,348",37%,"$2,080,013 ",,,,,
,1/3/25 17:04,1/2/25,LXP,Lxp Industrial Trust,Bonventre Joseph,"EVP, COO, Gen.Counsel, Sec",D - Sale to issuer,$8.01 ,"-102,881","956,348",-10%,"($824,077)",,,,,
,1/3/25 17:04,12/31/24,LXP,Lxp Industrial Trust,Bonventre Joseph,"EVP, COO, Gen.Counsel, Sec",G - Gift,$8.08 ,"-7,000","956,348",-1%,"($56,560)",,,,,
,1/3/25 17:03,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Moglia Peter M,CEO,A - Grant,$0.00 ,"4,980","226,139",2%,$0 ,,,,,
,1/3/25 17:03,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Moglia Peter M,CEO,D - Sale to issuer,$0.00 ,"-6,099","226,139",-3%,$0 ,,,,,
,1/3/25 16:57,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Hash Steve,Dir,A - Grant,$0.00 ,282,"21,899",1%,$0 ,,,,,
,1/3/25 16:56,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Woronoff Michael A,Dir,A - Grant,$0.00 ,436,"17,889",2%,$0 ,,,,,
,1/3/25 16:51,1/2/25,ARE,"Alexandria Real Estate Equities, Inc.",Marcus Joel S,Exec COB,A - Grant,$0.00 ,"15,610","409,937",4%,$0 ,,,,,
,1/3/25 16:51,12/31/24,ARE,"Alexandria Real Estate Equities, Inc.",Marcus Joel S,Exec COB,D - Sale to issuer,$0.00 ,"-19,156","409,937",-4%,$0 ,,,,,
,1/3/25 16:45,12/31/24,WSR,Whitestone Reit,Holeman David K,CEO,A - Grant,$0.00 ,"54,898","737,531",8%,$0 ,,,,,
,1/3/25 16:43,12/31/24,WSR,Whitestone Reit,Mastandrea Christine J,COO,A - Grant,$0.00 ,"29,560","394,078",8%,$0 ,,,,,
,1/3/25 16:41,12/31/24,WSR,Whitestone Reit,Tropoli Peter,"GC, Secretary",A - Grant,$0.00 ,"25,338","136,750",23%,$0 ,,,,,
,1/3/25 16:41,1/1/25,IRM,Iron Mountain Inc,Felix June Yee,Dir,A - Grant,$105.11 ,742,742,New,"$77,992 ",,,,,
,1/3/25 16:40,12/31/24,WSR,Whitestone Reit,Hogan John Scott,CFO,A - Grant,$0.00 ,"25,338","193,765",15%,$0 ,,,,,
,1/3/25 16:38,12/31/24,WSR,Whitestone Reit,Siv Soklin,VP of HR,A - Grant,$0.00 ,"16,892","76,868",28%,$0 ,,,,,
,1/3/25 16:35,1/1/25,DLR,"Digital Realty Trust, Inc.",Kornegay Christine Beseda,CHIEF ACCOUNTING OFFICER,A - Grant,$177.33 ,986,"2,222",80%,"$174,847 ",,,,,
,1/3/25 16:22,1/2/25,ARR,"Armour Residential Reit, Inc.",Downey Carolyn,Dir,A - Grant,$18.86 ,874,"20,383",4%,"$16,484 ",,,,,
,1/3/25 16:21,1/2/25,ARR,"Armour Residential Reit, Inc.",Paperin Stewart J,Dir,A - Grant,$18.86 ,874,"1,445",153%,"$16,484 ",,,,,
,1/3/25 16:21,12/31/24,ARR,"Armour Residential Reit, Inc.",Paperin Stewart J,Dir,S - Sale,$18.78 ,"-24,852","1,445",-95%,"($466,793)",,,,,
,1/3/25 16:20,1/1/25,CIM,Chimera Investment Corp,Viswanathan Subramaniam,CFO,A - Grant,$0.00 ,"48,188","156,231",45%,$0 ,,,,,
,1/3/25 16:18,1/2/25,FRT,Federal Realty Investment Trust,Steinel Gail P,Dir,A - Grant,$0.00 ,"1,072","16,678",7%,$0 ,,,,,
,1/3/25 16:18,1/2/25,WPC,W. P. Carey Inc.,Gass Rhonda,Dir,A - Grant,$54.29 ,506,"6,027",9%,"$27,471 ",,,,,
,1/3/25 16:18,1/2/25,WPC,W. P. Carey Inc.,Alexander Mark A,Dir,A - Grant,$54.29 ,552,"46,402",1%,"$29,968 ",,,,,
,1/3/25 16:17,1/2/25,FRT,Federal Realty Investment Trust,McEachin Thomas,Dir,A - Grant,$0.00 ,"1,072","2,535",73%,$0 ,,,,,
,1/3/25 16:17,1/2/25,FRT,Federal Realty Investment Trust,Nader Anthony P III,Dir,A - Grant,$0.00 ,"1,072","4,774",29%,$0 ,,,,,
,1/3/25 16:16,1/2/25,FRT,Federal Realty Investment Trust,Lamb-Hale Nicole,Dir,A - Grant,$0.00 ,"1,072","4,774",29%,$0 ,,,,,
,1/3/25 16:14,1/2/25,FRT,Federal Realty Investment Trust,Holland Elizabeth I,Dir,A - Grant,$0.00 ,"1,072","8,388",15%,$0 ,,,,,
,1/3/25 16:13,1/2/25,FRT,Federal Realty Investment Trust,Faeder David W,Dir,A - Grant,$0.00 ,804,"26,446",3%,$0 ,,,,,
,1/3/25 16:12,1/1/25,CUBE,Cubesmart,Keaton Joel D,COO,A - Grant,$42.85 ,"4,365","86,928",5%,"$187,040 ",,,,,
,1/3/25 15:36,12/31/24,PSA,Public Storage,Havner Ronald L Jr,Dir,A - Grant,$299.44 ,104,"326,924",0%,"$31,127 ",,,,,
,1/3/25 15:25,1/3/25,PPTIN,"Presidio Property Trust, Inc.",Hightower Steven,"President, NetREIT Advisors",A - Grant,$0.69 ,"21,104","96,869",28%,"$14,562 ",,,,,
,1/3/25 15:10,12/31/24,PSA,Public Storage,Spogli Ronald P,Dir,A - Grant,$299.44 ,146,"14,797",1%,"$43,766 ",,,,,
,1/3/25 14:46,1/2/25,TPL,Texas Pacific Land Corp,Horizon Kinetics Asset Management LLC,10%,P - Purchase,"$1,148.57 ",1,"1,167,916",0%,"$1,149 ",,,,,
,1/3/25 14:36,1/2/25,CXW,"Corecivic, Inc.","Carter, Cole G.","EVP,GC, Secretary",S - Sale,$21.77 ,"-8,000","183,847",-4%,"($174,160)",,,,,
,1/3/25 14:30,1/2/25,SOHO,Sotherly Hotels Inc.,Sims Andrew,COB,A - Grant,$0.00 ,"60,000","1,712,677",4%,$0 ,,,,,
,1/3/25 14:30,12/31/24,PSA,Public Storage,Reyes John,Dir,A - Grant,$299.44 ,111,"158,039",0%,"$33,238 ",,,,,
,1/3/25 14:27,1/2/25,SOHO,Sotherly Hotels Inc.,Folsom David R,"Pres, CEO",A - Grant,$0.00 ,"57,000","704,536",9%,$0 ,,,,,
,1/3/25 14:21,1/2/25,SOHO,Sotherly Hotels Inc.,Domalski Anthony E,CFO,A - Grant,$0.00 ,"45,000","342,281",15%,$0 ,,,,,
,1/3/25 14:16,1/2/25,SOHO,Sotherly Hotels Inc.,Walker Herschel J,Dir,A - Grant,$0.00 ,"3,000","56,573",6%,$0 ,,,,,
,1/3/25 14:07,12/31/24,PSA,Public Storage,Williams Paul S,Dir,A - Grant,$299.44 ,67,"1,096",7%,"$20,062 ",,,,,
,1/3/25 14:04,1/2/25,SOHO,Sotherly Hotels Inc.,Kucinski Scott M,"EVP, COO",A - Grant,$0.00 ,"35,000","231,457",18%,$0 ,,,,,
,1/3/25 13:59,12/31/24,XELB,"Xcel Brands, Inc.",Burroughs Seth,EVP of BD Treasurer Secretary,A - Grant,$0.69 ,"22,045","418,217",6%,"$15,149 ",,,,,
,1/3/25 13:57,12/31/24,XELB,"Xcel Brands, Inc.",D Loren Robert W,"CEO, COB, 10%",A - Grant,$0.69 ,"57,508","2,754,484",2%,"$39,519 ",,,,,
,1/3/25 13:57,1/2/25,SOHO,Sotherly Hotels Inc.,Zinni Anthony C,Dir,A - Grant,$0.00 ,"3,000","110,164",3%,$0 ,,,,,
,1/3/25 13:54,1/2/25,SOHO,Sotherly Hotels Inc.,Gibson George S IV,Dir,A - Grant,$0.00 ,"3,000","76,093",4%,$0 ,,,,,
,1/3/25 13:52,12/31/24,PSA,Public Storage,Mitra Shankh,Dir,A - Grant,$299.44 ,111,"8,429",1%,"$33,238 ",,,,,
,1/3/25 13:35,1/1/25,SUI,Sun Communities Inc,Thelen Bruce,"EVP, COO",D - Sale to issuer,$0.00 ,"-6,300","42,921",-13%,$0 ,,,,,
,1/3/25 13:31,1/1/25,SUI,Sun Communities Inc,Weiss Aaron,"EVP, Corp. Strat., Bus. Dev.",D - Sale to issuer,$0.00 ,"-4,200","42,149",-9%,$0 ,,,,,
,1/3/25 13:18,1/1/25,SUI,Sun Communities Inc,McLaren John Bandini,Pres,D - Sale to issuer,$0.00 ,"-15,000","76,299",-16%,$0 ,,,,,
,1/3/25 13:15,1/1/25,SUI,Sun Communities Inc,Shiffman Gary A,"COB, CEO",D - Sale to issuer,$0.00 ,"-51,000","944,427",-5%,$0 ,,,,,
,1/3/25 13:15,12/31/24,SUI,Sun Communities Inc,Shiffman Gary A,"COB, CEO",G - Gift,$0.00 ,-850,"944,427",0%,$0 ,,,,,
,1/3/25 10:43,1/2/25,RMCO,Royalty Management Holding Corp,Sauve Thomas M.,CEO,P - Purchase,$1.04 ,"7,500","1,204,708",1%,"$7,835 ",,,,,
,1/3/25 10:38,1/2/25,EPR,Epr Properties,Zimmerman Gregory E,"EVP, Chief Investment Officer",G - Gift,$0.00 ,"-32,550","128,195",34%,$0 ,,,,,
,1/3/25 10:37,1/2/25,EPR,Epr Properties,Peterson Mark Alan,"EVP, CFO",G - Gift,$0.00 ,"-40,446","226,943",22%,$0 ,,,,,
,1/3/25 10:37,1/2/25,EPR,Epr Properties,Grace Elizabeth,"SVP - HR, Admin",G - Gift,$0.00 ,"-11,552","34,529",50%,$0 ,,,,,
,1/3/25 10:37,1/2/25,EPR,Epr Properties,Johnson Gwendolyn Mary,SVP - Asset Management,G - Gift,$0.00 ,"-12,672","26,926",89%,$0 ,,,,,
,1/2/25 19:18,1/2/25,VTR,"Ventas, Inc.",Hutchens James Justin,"EVP Senior Housing, CIO",A - Grant,$57.96 ,"24,673","153,407",19%,"$1,430,047 ",,,,,
,1/2/25 19:18,1/2/25,VTR,"Ventas, Inc.",Roberts Carey S.,"EVP, GC",A - Grant,$57.96 ,"15,373","125,609",14%,"$891,019 ",,,,,
,1/2/25 19:17,1/2/25,VTR,"Ventas, Inc.",Bulgarelli Peter J.,"EVP OM, R-Ventas, Pres, CEO-LH",A - Grant,$57.96 ,"16,066","105,361",18%,"$931,185 ",,,,,
,1/2/25 19:17,1/2/25,VTR,"Ventas, Inc.",Probst Robert F,"EVP, CFO",A - Grant,$57.96 ,"25,088","181,491",16%,"$1,454,100 ",,,,,
,1/2/25 19:17,1/2/25,VTR,"Ventas, Inc.",Cafaro Debra A,"COB, CEO",A - Grant,$57.96 ,"56,935","1,043,652",6%,"$3,299,953 ",,,,,
,1/2/25 19:17,1/2/25,VTR,"Ventas, Inc.",Smith Maurice S,Dir,A - Grant,$57.96 ,647,"22,439",3%,"$37,500 ",,,,,
,1/2/25 19:17,1/2/25,VTR,"Ventas, Inc.",Roy Sumit,Dir,A - Grant,$57.96 ,539,"16,610",3%,"$31,250 ",,,,,
,1/2/25 19:16,1/2/25,VTR,"Ventas, Inc.",Martino Roxanne M,Dir,A - Grant,$57.96 ,820,"56,471",1%,"$47,500 ",,,,,
,1/2/25 19:16,1/2/25,VTR,"Ventas, Inc.",Lustig Matthew J,Dir,A - Grant,$57.96 ,561,"85,928",1%,"$32,500 ",,,,,
,1/2/25 17:26,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Marshall Joseph W III,Dir,A - Grant,$0.00 ,"8,203","84,832",11%,$0 ,,,,,
,1/2/25 17:22,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Chase Debra M,Dir,A - Grant,$0.00 ,"4,153","7,386",128%,$0 ,,,,,
,1/2/25 17:21,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Urdang E Scott,Dir,A - Grant,$0.00 ,"4,153","150,953",3%,$0 ,,,,,
,1/2/25 17:20,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Schwartz Barry F,Dir,A - Grant,$0.00 ,"4,153","63,529",7%,$0 ,,,,,
,1/2/25 17:19,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Shanks Earl C,Dir,A - Grant,$0.00 ,"4,153","92,783",5%,$0 ,,,,,
,1/2/25 17:16,1/2/25,GLPI,"Gaming & Leisure Properties, Inc.",Lynton Carol,Dir,A - Grant,$0.00 ,"4,153","26,796",18%,$0 ,,,,,
,1/2/25 17:08,1/2/25,VICI,Vici Properties Inc.,Rumbolz Michael D,Dir,A - Grant,$0.00 ,172,"82,332",0%,$0 ,,,,,
,1/2/25 17:08,1/2/25,VICI,Vici Properties Inc.,Macnab Craig,Dir,A - Grant,$0.00 ,387,"66,058",1%,$0 ,,,,,
,1/2/25 17:08,1/2/25,VICI,Vici Properties Inc.,Holland Elizabeth I,Dir,A - Grant,$0.00 ,207,"51,218",0%,$0 ,,,,,
,1/2/25 17:08,1/2/25,VICI,Vici Properties Inc.,Douglas Monica Howard,Dir,A - Grant,$0.00 ,52,"33,191",0%,$0 ,,,,,
,1/2/25 17:08,1/2/25,VICI,Vici Properties Inc.,Cantor Diana F,Dir,A - Grant,$0.00 ,430,"50,234",1%,$0 ,,,,,
,1/2/25 17:07,1/2/25,VICI,Vici Properties Inc.,Abrahamson James R,Dir,A - Grant,$0.00 ,645,"163,358",0%,$0 ,,,,,
,1/2/25 17:04,12/31/24,MDV,"Modiv Industrial, Inc.",Smith Kimberly J,Dir,A - Grant,$14.88 ,"1,176","11,865",11%,"$17,500 ",,,,,
,1/2/25 17:04,12/31/24,MDV,"Modiv Industrial, Inc.",Tirondola Connie,Dir,A - Grant,$14.88 ,672,"10,060",7%,"$10,000 ",,,,,
,1/2/25 17:04,12/31/24,MDV,"Modiv Industrial, Inc.",Gingras Christopher Raymond,Dir,A - Grant,$14.88 ,"1,512","5,494",38%,"$22,500 ",,,,,
,1/2/25 17:04,12/31/24,MDV,"Modiv Industrial, Inc.",Nolan Thomas H Jr,Dir,A - Grant,$14.88 ,"1,008","25,002",4%,"$15,000 ",,,,,
,1/2/25 16:51,1/1/25,CIM,Chimera Investment Corp,Sung Miyun,"GC,Secretary",A - Grant,$0.00 ,"22,373","36,398",160%,$0 ,,,,,
,1/2/25 16:50,1/1/25,CIM,Chimera Investment Corp,Thakkar Sudhanshu,"Chief Credit, Risk Officer",A - Grant,$0.00 ,"39,583","116,696",51%,$0 ,,,,,
,1/2/25 16:50,1/1/25,CIM,Chimera Investment Corp,Macdowell Jack Lee Jr,Chief Investment Officer,A - Grant,$0.00 ,"56,088","222,088",34%,$0 ,,,,,
,1/2/25 16:49,1/1/25,CIM,Chimera Investment Corp,Kardis Phillip John II,CEO,A - Grant,$0.00 ,"137,680","457,505",43%,$0 ,,,,,
,1/2/25 16:37,12/31/24,ELME,Elme Communities,Butcher Benjamin S,Dir,A - Grant,$0.00 ,"1,719","84,372",2%,$0 ,,,,,
,1/2/25 16:36,12/31/24,ELME,Elme Communities,Banner Jennifer S,Dir,A - Grant,$0.00 ,900,"25,482",4%,$0 ,,,,,
M,1/2/25 16:25,12/30/24,ACR,Acres Commercial Realty Corp.,Eagle Point Credit Management LLC,10%,S - Sale,$25.20 ,"-1,016","2,512,037",0%,"($25,603)",,,,,
,1/2/25 16:04,12/30/24,CPT,Camden Property Trust,Campo Richard J,"COB, CEO",G - Gift,$114.77 ,"-2,195","318,834",-1%,"($251,920)",,,,,
,1/2/25 15:59,12/30/24,CPT,Camden Property Trust,Jessett Alexander J.,"Pres, CFO",G - Gift,$114.77 ,-220,"137,313",0%,"($25,249)",,,,,
M,1/2/25 15:00,12/30/24,WHLRD,"Wheeler Real Estate Investment Trust, Inc.","Ursa Fund Management, LLC",10%,P - Purchase,$26.86 ,"10,900","399,200",3%,"$292,760 ",,,,,
,1/2/25 13:07,12/30/24,SPG,Simon Property Group Inc /de/,Stewart Marta R,Dir,P - Purchase,$168.59 ,177,"14,464",1%,"$29,840 ",,,,,
,1/2/25 13:06,12/30/24,SPG,Simon Property Group Inc /de/,Smith Daniel C.,Dir,P - Purchase,$168.59 ,334,"30,113",1%,"$56,309 ",,,,,
,1/2/25 13:05,12/30/24,SPG,Simon Property Group Inc /de/,Selig Stefan M,Dir,P - Purchase,$168.59 ,187,"30,260",1%,"$31,526 ",,,,,
,1/2/25 13:04,12/30/24,SPG,Simon Property Group Inc /de/,Roe Peggy Fang,Dir,P - Purchase,$168.59 ,65,"5,352",1%,"$10,958 ",,,,,
,1/2/25 13:03,12/30/24,SPG,Simon Property Group Inc /de/,Rodkin Gary M,Dir,P - Purchase,$168.59 ,213,"17,399",1%,"$35,910 ",,,,,
,1/2/25 13:02,12/30/24,SPG,Simon Property Group Inc /de/,Lewis Randall J,Dir,P - Purchase,$168.59 ,40,"3,325",1%,"$6,744 ",,,,,
,1/2/25 13:00,12/30/24,SPG,Simon Property Group Inc /de/,Leibowitz Reuben S,Dir,P - Purchase,$168.59 ,465,"67,319",1%,"$78,394 ",,,,,
,1/2/25 12:59,12/30/24,SPG,Simon Property Group Inc /de/,Jones Nina P,Dir,P - Purchase,$168.59 ,21,"1,741",1%,"$3,540 ",,,,,
,1/2/25 12:58,12/30/24,SPG,Simon Property Group Inc /de/,Hubbard Allan B,Dir,P - Purchase,$168.59 ,381,"34,682",1%,"$64,233 ",,,,,
